,agent_call_AT,agent_call_flop,agent_call_top_pair,agent_raise_AT,agent_raise_aggressive,background_agent_v1,background_agent_v2,player_call,player_raise,player_random
,976,964,951,967,967,3346,0,916,913,0
,980,959,957,964,964,2044,0,1190,864,0
,959,943,961,967,968,0,1092,974,860,2250
,959,957,982,964,962,3331,0,898,939,0
,1057,952,962,964,961,1964,0,1238,872,0
,965,975,970,964,964,0,2074,1103,944,0
,966,973,971,964,967,0,0,1045,952,2661
,1004,1014,955,967,968,1979,982,1147,984,0
,996,987,965,967,969,2175,966,896,1023,0
,1000,952,951,967,967,3177,0,1041,938,0
,956,988,976,967,965,0,0,848,1165,2183
,962,969,964,967,967,3170,0,919,977,0
,945,989,991,964,964,3415,0,874,858,0
,950,980,968,964,964,0,0,1096,882,3193
,967,970,953,967,967,954,0,836,1106,2280
,982,956,974,967,967,996,2166,987,1003,0
,964,976,960,962,964,0,1975,963,1178,0
,959,933,986,967,964,0,3238,884,1069,0
,954,946,958,964,964,2291,0,966,882,0
,945,964,970,965,964,0,2062,1064,977,0
,995,937,965,967,966,3186,0,986,998,0
,1001,996,960,964,963,0,3238,892,964,0
,953,965,960,964,964,2976,0,1134,1076,0
,963,958,970,964,964,3213,0,933,1035,0
,984,975,960,967,967,2017,1057,1038,981,0
,954,942,958,964,961,2131,0,966,1072,0
,983,951,958,964,966,3077,0,899,1202,0
,982,1004,970,964,964,0,3001,870,1184,0
,974,948,973,964,967,0,2200,1026,894,0
,993,951,959,964,963,2396,0,892,876,0
,943,965,962,967,967,3246,0,929,1021,0
,951,956,975,964,962,0,2045,1153,965,0
,946,990,964,968,967,1056,2026,1104,937,0
,977,936,997,964,964,0,0,1156,890,3098
,961,958,951,967,966,0,3221,1064,890,0
,959,963,985,964,962,0,3088,971,1108,0
,948,959,982,969,964,0,3027,1244,898,0
,958,973,973,967,964,3322,0,959,884,0
,1000,971,959,967,967,1107,2010,1081,938,0
,973,966,954,967,964,2213,0,876,1075,0
,987,951,960,964,963,0,0,1099,882,3194
,980,973,989,964,966,3390,0,870,868,0
,948,948,991,964,965,0,2843,927,880,0
,969,957,992,964,964,0,2035,1071,969,0
,992,980,968,967,967,2057,0,999,858,1191
,951,963,982,968,967,980,2326,947,876,0
,972,967,991,964,967,3114,0,912,1082,0
,960,1038,1008,963,962,0,2304,862,888,0
,970,962,987,967,967,0,2155,963,915,1114
,953,963,951,964,965,0,0,884,1168,2220
,948,995,967,967,964,3124,0,904,1055,0
,1010,969,963,964,964,3062,0,1087,981,0
,991,955,956,964,964,0,3028,896,1246,0
,952,951,994,964,964,2456,0,919,860,0
,976,984,959,967,967,1075,2054,1059,959,0
,1001,965,961,967,965,2619,0,1116,906,0
,972,964,962,964,965,2565,0,926,1045,0
,966,940,965,967,967,1174,1974,1018,958,0
,938,980,964,967,967,3145,0,874,1165,0
,949,972,951,969,967,1051,0,900,1057,2184
,948,1009,957,964,964,0,2425,902,900,0
,976,964,958,969,967,0,2141,1081,888,0
,1004,954,961,965,967,0,3421,840,888,0
,990,957,957,964,964,0,0,1022,958,3116
,961,995,964,963,962,0,2970,1151,1011,0
,987,951,975,963,964,0,2046,1167,878,0
,980,949,979,967,967,2304,0,900,1081,0
,1001,981,974,964,963,2335,0,883,866,0
,949,974,968,967,967,2077,0,1017,943,0
,999,972,950,964,966,0,3100,954,1052,0
,1017,937,970,964,966,0,3039,1027,1058,0
,940,946,987,966,967,2125,1071,968,1027,0
,954,968,957,964,964,0,3063,1143,987,0
,962,951,957,967,965,2005,0,1061,1059,0
,954,981,990,964,964,3055,0,937,1155,0
,961,994,952,964,967,0,0,952,854,2348
,991,942,944,964,967,3296,0,884,985,0
,985,976,965,967,964,3343,0,888,912,0
,953,957,971,966,964,0,3271,984,934,0
,970,977,962,967,967,1951,1310,932,863,0
,1011,938,968,964,964,0,2371,858,868,0
,960,947,958,966,964,0,2222,894,1044,0
,966,975,953,964,964,0,0,951,1126,3101
,977,953,967,967,964,3055,0,1061,1049,0
,958,948,969,967,967,1038,2105,1043,945,0
,988,948,946,964,967,0,0,838,1122,3227
,939,950,998,965,964,2232,0,886,1118,0
,963,949,966,964,964,2220,0,1060,904,0
,945,978,986,964,961,3026,0,910,1230,0
,949,967,961,967,968,3096,0,1079,960,0
,958,980,956,965,964,1954,0,1030,1106,0
,947,960,965,964,964,0,0,1048,962,3190
,987,956,955,967,967,1087,2050,1133,894,0
,947,966,957,967,967,2442,0,878,1010,0
,973,952,951,962,963,0,3255,986,958,0
,971,937,946,967,967,0,3142,933,1034,0
,950,945,956,967,967,2117,1187,1009,888,0
,972,961,957,967,964,1995,0,1103,972,0
,976,957,972,961,964,0,2983,916,1246,0
,989,992,970,968,967,0,1899,850,1179,1136
,961,968,974,967,967,2093,1005,1075,976,0
,961,970,967,970,970,1007,0,935,970,2250
,965,953,978,967,967,997,2087,1154,904,0
,977,982,984,965,964,0,1953,868,1197,0
,961,942,965,964,964,0,2349,898,958,0
,960,984,984,965,964,2087,0,868,1112,0
,1007,942,966,964,964,0,0,939,1079,3139
,978,964,973,961,964,2051,0,1164,908,0
,963,964,994,967,967,2085,1056,872,1105,0
,992,967,948,962,961,0,0,941,1096,3133
,951,961,962,965,967,0,1999,1056,888,0
,957,1011,962,964,964,1974,0,934,1184,0
,975,965,978,964,964,0,0,1029,952,2230
,970,958,967,967,964,0,3280,890,1004,0
